sentimenteffective,sentimentpet,sentimentprocess,sentimentrecycle,text
Neutral,Negative,Neutral,Negative,hasil produk daur ulang plastik bukan tdk mnimbulkan mslh  kualitas plastik daur ulang lbh jelek dr plastik baru
Neutral,Negative,Neutral,Negative,jelek bgt kan liat kaya plastik putih daur ulang
Neutral,Neutral,Neutral,Negative,44 sampah bekwalitas bs daur ulang klu lu sampah plastik jelek hahaha
Negative,Negative,Neutral,Negative,knpa koq malah pake kardus  koq gk mikir pake yg bhn plastik aj gitu kek  lbh baik pake yg daur ulang untung 2x  meski wujud jelek poll lebih baik kardus yg gk tahan - tahan sama sekali dg air  ato emng gk thu klo indo musim hujan 
Neutral,Negative,Neutral,Negative,yaelah murah banget pake plastik daur ulang aja nih keren dikit rt  jelek banget - - udah pake kertas nasi ko
Negative,Neutral,Neutral,Neutral,jokowi paksa mal dki plastik daur ulang
Neutral,Negative,Neutral,Negative,jelek ameet dah lo pake plastik daur ulang arti hahart  lu pake kantong kresek haha rt  ha 
Neutral,Neutral,Negative,Negative,hooh jelek banget kayak plastik daur ulang  daan kadaluarsanya cuma sebentar kalau ga rapet nyimpene jamur  waah baru tau kalau simbah orang kebumen
Negative,Negative,Negative,Negative,hahaha berhala plastik kresek bang  plastik susah urai bang alam bakar sih biar cepet daur ulang sdh jelek kualitas
Neutral,Negative,Negative,Negative,ahh jelek ntr hsilny g bgus rt plastik daur ulang dong go green dikit rt  ga jg  klo pke 
Negative,Negative,Negative,Negative,sampah plastik daur ulang daur ulang jelek  amp  beres yg salah siapa  yg duit siapa  yg peras siapa  otak penuh hepeng  bilang aja broker ken duit 
Neutral,Negative,Negative,Negative,sumpah apa bukan renov kelas  benerin ring basket lu tau sekolah gua masang tempat duduk bentuk love tau ga sih biasa jd spot foto ibu ibu tempat wisata trus dekor pake botol plastik maksud apa anj mau cerita daur ulang mah jelek majang sampah
Negative,Negative,Negative,Negative,bikin tuh mikir gin gak sih  sampah2 nya mau dikemanain klo daur ulang mnrt gue tetep kurang botol2 plastik yg kecil gtu aja udh banyak yg daur ulang tetep numpuk sampah - nya yg gede  stress
Positive,Neutral,Neutral,Positive,tuh bajer galon sekali pake kek nya kurang literasi deh padahal aqua yg pertama loh yg kemas plastik 100  buat plastik daur ulang 100  daur ulang   bajer galon sekali pakai warrior biasa cuma playing victim padahal yg nyampah siapa dasar 
Negative,Negative,Negative,Negative,rata2 sampah yg hasil jkt kurang lebih 7  700 ton per hari tahun 2019 yg 34  nya rupa sampah plastik  data swi sampah indonesia nyata 50  nya tetap akhir tps kurang 10  sampah plastik daur ulang  kpn tingkat daur ulang kyk sgp
Negative,Negative,Negative,Negative,aneh banget  bahan baku sampah plastik pet kurang indonesia padahal sungai mana - mana sampah plastik tumpuk kok gagal daur ulang 
Positive,Positive,Positive,Positive,rispek cakk cuma kurang 1 tadi soal botol plastik jawab loh botol plastik tetap daur ulang coba lihat apa laku pak anies dki lalu tpst bantar gebang olah sampah 9 cara salah satu daur ulang plastik 
Negative,Neutral,Negative,Neutral,kok kurang main daur ulang  kurang pulung  gw pernah dengar impor sampah utk bahan bakar blm pernah dengar ekspor sampah plastik yg d daur ulang 
Negative,Neutral,Negative,Neutral,fasilitas daur ulang sangat sedikit sadar masyarakat kurang  satu - satu jalan buat usaha pakai kemas yg ramah lingkung kalo bener niat bikin kampanye anti sampah plastik 
Negative,Positive,Negative,Positive,indonesia udh yg nama bank sampah kok  cuma emg sadar diri masing2 aja yg kurang ka  laku bisnis daur ulang sampah plastik kok  kalo sadar diri tinggi sih enak gaperlu gaji pulung utk keliling udh yg nyetor lapak 
Negative,Negative,Negative,Negative,waduhh malah war simpel c  jangan buang sampah sembarang ajar cara daur ulang kurang plastik pokok semua sama samaa bisaa jangan apa apa perintah  masyarakat aja kurang bebal 
Negative,Negative,Negative,Negative,salah satu faktor sistem daur ulang sampah plastik jalan baik sadar masyarakat kurang buang sampah sembarang
Negative,Negative,Neutral,Negative,tips  amp  trik jaga linkungan turut data sustainable waste indonesia  swi  tingkat daur ulang sampah plastik indonesia kurang 11  9 - 10  padahal indonesia rupa salah satu negara hasil sampah plastik besar dunia  per hari nya
Negative,Neutral,Negative,Neutral,daur ulang  yg indo terap kurang  bukan jawab utama kurang sampah plastik  kurang plastik tatplah jawab utama kurang sampah  kalo terus daur ulang ujung2nya ttp bakal dibuang2 tolakgalonsekalipakai
Negative,Negative,Negative,Negative,berfikir ga sih sampah banyak sera utama sampah plastik  karna  1  tempat sampah sangat batas 2  pakai sampah plastik non daur ulang banyak bgt 3  budaya - ubah sadar atur 4  atur yg kurang tegak 
Negative,Negative,Negative,Negative,justru tempat2 olah sampah  plastik kertas  daur ulang indonesia kurang sampah olah hingga paksa impor sampah luar  kurang manajemen sampah ga biasa misah2in sampah dr level rumah
Negative,Neutral,Negative,Neutral,indonesia rupa salah satu negara hasil sampah plastik besar dunia bahkan tempat urut banyak  turut data sustainable waste indonesia  swi  tingkat daur ulang sampah plastik indonesia kurang 11 - kkmuntirtajawara2020 kkm146 untirta
Neutral,Neutral,Negative,Positive,gsp temu plastik tuh sebenernya buat jaga lingkung temu plastik orang bungkus pake kertas yg bhan dasar kayu plastik g salah asal buang sampah aja bner daur ulang si utk skrg yg penting nah indo kurang soal
Negative,Negative,Neutral,Negative,padahal daur ulang lama layak pakai okay aja  padahal kalau daur ulang kurang sampak plastik kan barang selamat yg utama  protes barang dg selamat packing daur ulang kayak kurang edukasi cinta lingkung
Negative,Neutral,Negative,Neutral,parah sebenernya ga efektif sistem daur ulang indonesia  jangan e - waste plastik aja kacrut  terus kalo mau pake paper bag rata2 sini blm pake yg murni daur ulang krn supplynya kurang buat bisnis 
Negative,Positive,Negative,Positive,larang kantong plastik sekali pakai anggap bagai solusi kurang tepat beberapa pihak turun omzet  furec harap perintah fokus baik sistem olah sampah edukasi masyarakat  amp  wajib bahan daur ulang  bahan ldu 
Neutral,Positive,Positive,Positive,1 hi  thank you mention cleanup kurang lebih 1 00 ton sampah sungai citarum loh  sampah plastik sebut recycle jadi papan daur ulang bangku taman
Positive,Neutral,Negative,Neutral,usaha komitmen luas infrastruktur daur ulang wilayah kurang milik infrastruktur kelola limbah plastik 
Neutral,Negative,Negative,Negative,lihat produsen kurang libat kelola sampah  produsen sampah plastik  makan  minum kemas sekali pakai  ikut tanggung jawab sedia tampung daur ulang limbah plastik 
Neutral,Negative,Neutral,Negative,buang buang limbah plastik aja padahal sampah paling susah daur ulang plastik malah ngelakuin kurang penting kayak gin  padahal ecer banyak warung ngga 1  2 kg  beras ngga basi
Neutral,Positive,Neutral,Positive,salah satu program perintah dunia kurang prosuksi baru plastik daur ulang produk plastik bagai bentuk baru  kursi meja wajah  hasil instalasi plastik wajah kurang muas mungkin via bpjs 
Negative,Negative,Negative,Negative,devina produsen air mineral kemas indonesia hadap kendala daur ulang sampah plastik beberapa alas  pertama biaya daur ulang tinggi sedang plastik baru lebih murah  infrastruktur kelola sampah kurang utama daerah pencil 
Negative,Positive,Negative,Positive,cerita kepul kalau pasok sampah pabrik daur ulang kurang  iya kurang  impor sampah plastik daur ulang  kalau tanya banyak sampah buang laut  maaf kapasitas - c
Neutral,Positive,Negative,Negative,aro balebambu klo botol plastik daur ulang klo galon kek gitu aku kurang tau  aku jual daur ulang web
Negative,Neutral,Negative,Neutral,susah kalau banyak buru rente  dlm import  amp  dukung jabat  kkn  sinyalemen bung rizal ramli   bukti pulung  bandar  kurang semangat plastik daur ulang tdk harga
Negative,Negative,Neutral,Negative,bina asosiasi daur ulang plastik  adupi  willy tandiyo kata meski tingkat daur ulang plastik negeri bawah 10  bahan baku lokal milik kualitas kurang baik 
Negative,Negative,Neutral,Negative,catat data sustainable waste indonesia  swi  kurang 10  sampah plastik daur ulang lebih 50  tetap akhir tempat buang akhir  tpa  baru 60  persen tuh gatau 40  nya mana  lifeatunpar kelasmihi
Neutral,Negative,Negative,Negative,kurang percaya si sm yg masalah makanin jin ditempelin setan tp lebih kasi sama tukang angkut sampah pulung  kadang tu kl plastik item buka buat cek isi barang yg daur ulang apa ngga  kl pas buka isi darah haid kan jahat 
Positive,Negative,Negative,Negative,patters iya tau impor sampah alas bahan baku sampah plastik indonesia kurang akhir justru bikin banyak masuk sampah2 yg dpt daur ulang pasal baru nguntungin indonesia ga sih  ayo mending rakyat diajarin mem sampah sendiri  sampah banyak kan 
Neutral,Positive,Positive,Positive, lisdafebri engga ka kalo platform daur ulang kaya gin justru sampah bekas bakal diancurin utk jd biji plastik yg kemudian dipake utk bikin barang2 plastik kaya botol gelas plastik  kurang lebih kaya gin ka proses  cmiiw
Negative,Positive,Negative,Positive,memang betul ibu plastik sangat ganggu darat sungai laut  pabrik nya sampah tak hilang  solusi bentuk olah sampah plastik contoh nya daur ulang sampah plastik  kalau plastik kurang gana dgn oplas 
Neutral,Positive,Negative,Positive,sistem kumpul kurang baik botol plastik bekas buang lingkung hingga cemar  sahabat tahu apa proses daur ulang botol plastik bekas rbu tangerang selatan  yuk simak foto - foto atas 
Neutral,Positive,Neutral,Positive,kain polyester daur ulang sampah botol plastik kurang tau pabrik indo luar mbieb 
Negative,Positive,Negative,Negative,plastik nilai bagus buat daur ulang pet  biasa buat amdk  sisa kurang  kalo isi banyak styrofoam  sungai design bikin kursi kresek hasil cleanup kali cost harga jual jadi mahal buanget
Negative,Negative,Neutral,Negative,uni eropa alat makan minum sekali pakai dar plastik larang indonesia malah daur ulang  perintah kurang peduli
Negative,Neutral,Negative,Positive,kurang edukasi  amp  banyak mau praktis sih  padahal beberapa daur ulang minyak jadi sabun cuci piring  sampah produk cantik  skincare sih lalu jadi rajin  sekarang kan apa2 bungkus plastik meski udah rang akhir2
Negative,Neutral,Neutral,Positive,id bagus si konsep cuma kalo turun pasar kurang ngena  emang bagus daur ulang jadi kantong belanja ato macem perabot diaplikasiin plastik bungkus 
Negative,Neutral,Negative,Neutral,capek liat tri habis akal  semua pajak  sekarang hrus balik pajak trsebut kurang sampah dgn daur ulang dgn pajak bangun pabrik daur ulang klo enggak ngapain kena cukai lebih  ppn per produk kurang 
Negative,Negative,Neutral,Negative,lah padahal sekarang kan plastik makan minum daur ulang minggu ancur sendiri kurang kreatif tempat makan  bilang go green gatau inovasi wadah ramah lingkung
Negative,Neutral,Negative,Neutral,pernah baca kilas kurang yakin tepat engga  daur ulang sampaah segi laksana lebih ribet ketimbang buat baru murni biji plastik proses lebih lama  pilah sterilisasi lebur  biaya lebih gede
Neutral,Negative,Negative,Negative,yantie ekaputri produsen yg ngeyel soal kemas plastik ukur kecil kan kurang minat industri daur ulang
Positive,Neutral,Neutral,Neutral,ccof luas inovasi daur ulang limbah plastik luar pulau jawa  usaha komitmen luas infrastruktur daur ulang indonesia utama wilayah kurang milik infrastruktur kelola limbah plastik  aksi
Positive,Positive,Neutral,Positive,jang dongmin nyata bisnis kaya raya  punya 100 warnet  pc bang  usah jasa bersih bersih rumah usaha daur ulang botol plastik pas kecil jarang banget liat ortunya  yg kerja keras senin sampe senin  pergi gelap pulang dah gelap 
Neutral,Negative,Negative,Negative,banyak sampah plastik padahal kata daur ulang kalo kalian tanya sih banyak sampah plastik padahal plastik daur ulang nyata mudah fergusoo  plastik punya 7 jenis beda
Neutral,Neutral,Neutral,Neutral,kemas galon polikarbonat milik kode daur ulang plastik ric nomor 7  infotempo bpafree
Negative,Negative,Negative,Negative,ri daur ulang sampah plastik jd kerja besar studi yg laku pascasarjana ui bilang pulau jawa aja hasil 189 349 ton sampah plastik  bulan 11  83  kumpul laku daur ulang upstream  kumpul  yg 88  17  langsung tuju tpa ato jadi sampah 
Negative,Neutral,Negative,Negative,usa pbde larang senyawa banyak temu pasar  alas  banyak plastik bekas yg edar proses daur ulang plastik umum ga regulasi ketat  cukup yakin indonesia banyak 
Neutral,Positive,Positive,Positive,fyi buat kalian yg suka beli pake gelas plastik mungkin gelas cuci bersih kalian kumpulin kirim bantu kalian buat daur ulang sampah plastik kok  sampah yg daur ulang 
Neutral,Neutral,Negative,Neutral,walaupun sekarang rasa orang udah tau paham banyak yg terap budaya pilah pilih sampah  mana sampah organik yg urai mana sampah plastik yg daur ulang  yg paling gampang misal botol plastik  jujur gw sering
Negative,Neutral,Negative,Neutral,tantang  daur ulang plastik minim
Negative,Negative,Negative,Negative,teliti baru temu fasilitas daur ulang plastik lepas miliar partikel plastik kecil air limbah kemudian kontribusi cemar salur air bahaya sehat manusia 
Positive,Positive,Negative,Positive,usaha daur ulang plastik kemasan2 plastik sekali pakai nila tinggi material daur ulang bahan baku produksi pabrik makin banyak material daur ulang makin baik industri plastik negara sangat kurang bahan baku 
Negative,Negative,Negative,Negative,langkah tempuh cegah senyawa racun sebar lingkung prosedur daur ulang baik sayang pusat daur ulang sulit pisah lapis plastik paper cup britania raya 4 100 paper cup benar - benar
Negative,Negative,Negative,Negative,daur ulang sampah plastik bawah 10 persen
Negative,Negative,Negative,Negative,aneh banget  bahan baku sampah plastik pet kurang indonesia padahal sungai mana - mana sampah plastik tumpuk kok gagal daur ulang 
Negative,Positive,Negative,Positive,topnewsmetrotv perintah milik perhati hadap olah sampah plastik upaya terus dorong industri daur ulang plastik nasional  perintah optimis daur ulang sampah plastik kembang  daur ulang sampah plastik untung 
Negative,Positive,Positive,Positive,limbah plastik rumah tangga medis botol infus main anak daur ulang kawasan depok jawa barat  sayang usaha daur ulang limbah plastik tak  cnnindonesia
Negative,Negative,Neutral,Negative,walaupun sampah jenis daur ulang jadi rahasia umum daur ulang sampah plastik jadi perhati negara 
Neutral,Neutral,Negative,Negative,pasuk masa tenang milu 2024 kelola sampah alat aga kampanye  apk  beberapa daerah daur ulang akhir jadi sampah  kampanye urban greenpeace indonesia atha rasyadi kata baliho bahan plastik pvc vinyl
Neutral,Positive,Positive,Positive,buat rajin daur ulang botol plastik yuk wargi   botol plastik bekas jadi salah satu limbah sulit urai lho sering anggap 
Negative,Negative,Negative,Negative,loh kan galon sekali pakai daur ulang  fakta gak daur ulang sampah plastik indonesia baru sentuh 12  sedikit recycle rate  nih simak jelas
Negative,Negative,Negative,Negative,sampah  harta bencana  tahu sampah jadi emas daur ulang jadi barang baru hingga energi baru  enak buang sampah sembarang  jalan penuh plastik sungai sumbat laut jerit  apa cuma pandai omong nol
Neutral,Neutral,Negative,Neutral,butuh bahan baku plastik daur ulang andal impor
Positive,Neutral,Positive,Neutral,polusi sampah plastik jadi ancam intai  daur ulang sampah plastik jadi salah satu upaya kurang sampah plastik 
Negative,Neutral,Negative,Neutral,nyata tengah butuh sampah kertas plastik daur ulang gantung impor 
Negative,Neutral,Negative,Neutral,bakar landa lapak daur ulang plastik jalan gaga rawa kompeni kamal kalideres jakarta barat jumat  19  5  2023  pantau lokasi api kobar bakar isi lapak semipermanen sebut  cil inews plastik kalideres daurulang
Negative,Negative,Negative,Negative,gantung indonesia hadap sampah impor industri daur ulang timbul tantang signifikan  kurang bahan baku negeri terus jadi utama sektor pulp kertas plastik 
Negative,Negative,Negative,Negative,gila makin lama amerika emang licik bgt  buang sampah plastik yg gabisa daur ulang jawa timur dijadiin bahan bakar buat pabrik tahu  padahal indo susah buat olah sampah  perintah lengah bgt buat begini
Negative,Negative,Negative,Negative,daur ulang  yg indo terap kurang  bukan jawab utama kurang sampah plastik  kurang plastik tatplah jawab utama kurang sampah  kalo terus daur ulang ujung2nya ttp bakal dibuang2 tolakgalonsekalipakai
Negative,Negative,Negative,Negative,plastik awal buat mudah hidup manusia kini jadi ancam  jumlah produksi konsumsi plastik tingkat bareng proses daur ulang 
Negative,Negative,Negative,Negative,tak urai sepenuh plastik  biodegradable  nyata simpan bahaya laut  46  kemas plastik inggris plastik daur ulang kompos biodegradable dukung sistem daur ulang
Negative,Negative,Negative,Negative,tiza mafira direktur eksekutif gidkp kata tingkat daur ulang sampah plastik indonesia sangat rendah angka 9 - 10  besar sampah plastik akhir tempat buang akhir  tpa  sampah sisa akhir ekosistem laut 
Negative,Neutral,Negative,Neutral,produk plastik hasil daur ulang risiko sehat  sampahplastik jadi soal kelola sampah indonesia sulit selesai  pasal komponen plastik jadi jenis sampah sulit
Negative,Positive,Negative,Positive,1  kembang industri daur ulang plastik negeri terus kebut perintah bagai upaya strategis substitusi bahan baku impor  samping butuh bahan baku plastik sangat tinggi  visi industridaurulang
Negative,Positive,Negative,Positive,indonesia juang lepas diri gantung hadap sampah impor jadi sangat penting industri daur ulang utama produksi kertas plastik 
Negative,Negative,Negative,Negative,berfikir ga sih sampah banyak sera utama sampah plastik  karna  1  tempat sampah sangat batas 2  pakai sampah plastik non daur ulang banyak bgt 3  budaya - ubah sadar atur 4  atur yg kurang tegak 
Neutral,Positive,Positive,Positive,udah opini nya ngaco aja bela diri sendiri terus udah kasih tau galon plastik sekali pakai daur ulang ngotot janganmenggiringopini
Neutral,Negative,Negative,Negative,daur ulang sampah plastik indonesia bawah 10 persen
Positive,Neutral,Positive,Neutral,unpopular opinion  gausah esktrim batasin plastik  plastik limbah yg daur ulang lama layak  industri banyak yg gantung sama daur ulang plastik  pulung aja 5jtan sini yg jadi ujung tombak pabrik  bukan arti pake enak 
Neutral,Neutral,Positive,Neutral,kurang sampah plastik laku aksi 3n ngelongi nganggo ngolah kurang kantong plastik sekali pakai ulang plastik  amp  kelola  daur ulang plastik jadi barang manfaat  hlhsedunia2023
Negative,Neutral,Negative,Neutral,menteri industri airlangga hartarto kata upaya daur ulang plastik alias recycle plastic indonesia kalah negara maju 
Negative,Neutral,Negative,Neutral,ngurangin sampah plastik daur ulang sampah plastik  tempat sampah aja nyampur kan sampah organik non organik
Neutral,Positive,Positive,Positive,kamu daur ulang pilah kemas plastik pakai ulbsang tulis 1  pet  makan kemas plastik sebut terima usaha daur ulang indonesia semangatsalingbantu
Negative,Negative,Neutral,Negative,kelola sampah lalu daur ulang indonesia sedikit  bagai negara daur ulang sampah plastik arah circular economy mungkin hasil daur ulang jadi produk baru   info 
Neutral,Positive,Positive,Positive,kamu daur ulang pilah kemas plastik pakai ulang tulis 1  pet  makan kemas plastik sebut terima usaha daur ulang indonesia semangatsalingbantu
Neutral,Positive,Positive,Positive,guys tau gak sih  kalian loh daur ulang pilah kemas plastik pakai  biasa tulis 1  pet  makan kemas plastik sebut terima usaha daur ulang indonesia semangatsalingbantu
Negative,Negative,Negative,Negative,indonesia teknologi daur ulang plastik batas  kalau ln pakai tenaga listrik sini sptnya blm  jadi paling bener kurang plastik dr diri sendiri 
Negative,Negative,Negative,Negative,batas beberapa kota sedia plastik daur ulang jadi bahan dasar batas  tutup mungkin pasar produk aqua life lebih banyak lokasi indonesia 
Negative,Negative,Negative,Negative,nope daur ulang sampah plastik indonesia rendah banget  banyak sampah plastik kelola baik tpa akhir cari lingkung baik darat maupun air  cmiiw kehigenisan kualitas so called daur ulang jamin 
Neutral,Neutral,Negative,Positive,mau pakai plastik cara serampang  beli makan plastik lap - lapis  buang - buang plastik daur ulang  manusia emang satu - satu spesies senang hati bunuh diri sendiri teman - teman cara perlahan 
Neutral,Positive,Negative,Negative,meski beberapa merek jenis plastik polyethylene terephthalate  pet  dgn nomor kode plasti daur ulang mudah daur ulang sebat galon sekali pakai putar dampak hadap lingkung 
Negative,Positive,Negative,Positive,kampos usaha startup asal italia produksi pakai renang kemeja t - shirt  amp  mana seluruh produk buat botol plastik daur ulang  bekas  meski bukti banyak masyarakat plastik hindar  larang 
Positive,Positive,Positive,Positive,hasil daur ulang sampah plastik sterofoam kertas oli bekas pasir 25x25x7cm ukur  pro  amp  kontra cara daur ulang krn masak bakar  kendalax duit tpi bukan halang buat utk cari ide  bahan rongsok modal alat dapur
Neutral,Positive,Neutral,Positive,tp gue cukup penasaran botol daur ulang aqua ngambil source pet le minerale  masyarakat paham aja kalo benar industri manufaktur plastik source utama bukan virgin plastik bekas  yes they  re recyclable 
Neutral,Neutral,Neutral,Negative,dukung sadar peduli lingkung kurang plastik lalu tagar sendok pikir produk makan yg kemas plastik yg sulit daur ulang
Negative,Positive,Negative,Positive,indonesia daur ulang plastik pascakonsumsi baru capai tujuh persen 15 persen bahan baku asal impor 
Negative,Positive,Negative,Positive,indonesia nambah sampah plastik jangan salah pihak pabrik salah diri semua  sampah plastik bukan buang sembarang bakar tp daur ulang jadi plastik yg baru  sistem daur ulang jelek sini 
Positive,Negative,Negative,Negative,sebenernya sabun cair cara dasar rugi krn kemas plastik  tp aku bakal dukung kalau sabun cair kemas plastik daur ulang bahan lebih environmental friendly 
Negative,Negative,Neutral,Negative,gitu isu lingkung kek gak dijadiin konsen produsen amdk malah tambah jenis sampah plastik baru tingkat daur ulang sampah sangat rendah 
Negative,Neutral,Negative,Negative,komitmen tida beli sedot besi sampe gue sendiri gelas plastik maupun kertas  sampe indonesia punya cara daur ulang baik plastik  sedot plastik gue sangat kurang ngga pake samsek cuma gelas susah
Negative,Negative,Negative,Negative,14  sampah plastik bagai bahan baku industri daur ulang negeri 47  jadi lebih tengah  lebih tengah impor
Neutral,Positive,Negative,Positive,sabun shampoo kemas pake plastik daur ulang dominasi merk luar yg mahal2 
Negative,Negative,Negative,Negative,banyak sampah plastik buang hasil kelola sampah buruk  salah satu rendah daur ulang sampah indonesia  litbangkompas adadikompas lingkung
Negative,Negative,Negative,Negative,gimana daur ulang sampah plastik amdk beres  kemas kecil2 makin banyak terus plastik air mineral cuma daur ulang 7  doang  prediksi 2050 lebih banyak sampah plastik laut ikan bakal jadi nyata
Negative,Negative,Negative,Negative,bukan soal daur ulang  cara global rata - rata 9 persen sampah daur ulang  bikin kemas baru lebih murah recycle  kemas plastik produksi tahun 1950 - an sampah liar alam hingga kini 
Negative,Negative,Negative,Negative,daur ulang sampah plastik sering anggap bagai silver bullet selesai masalah sampah plastik  padahal kapan daur ulang kewalahan kalo produsen terus plastik sekali pakai  1hari1isulingkungan
Positive,Positive,Neutral,Positive,halo sobat laut sedang langsung fgd susun pedoman kelola sampah plastik alat tangkap ikan ayo kembang industri daur ulang alat tangkap ikan indonesia minim aldfg marinedebris tknpsl
Positive,Neutral,Positive,Neutral,tau daur ulang sampah plastik gimanaa  yuk mending ikut acara nih tegal semuadukungganjar
Neutral,Positive,Negative,Positive,kalau sampah plastik jadi solar nelayan tani turut kamu apa bikin ragu mulai daur ulang 
Neutral,Positive,Negative,Positive,gw pernah ngalamin pas usaha bidang daur ulang plastik  udah bawa hasil giling plastik parkir pabrik pemroses biji plastik daur ulang nunggu antri makelar ngerubung langsung minta lewat aja  lah kan gw udah ngantri langsung
Positive,Neutral,Positive,Neutral,gw baca berita peluang besar tajir daur ulang sampah plastik
Negative,Neutral,Negative,Neutral,negara udah bahas ekspedisi angkasa mobil tenaga listrik daur ulang sampah plastik  sini urusin agama ijin ibadah
Positive,Negative,Negative,Negative,sampah jadi berkah tambah kreatifitas  peluang laku daur ulang limbah baik upa kertas maupun plastik indonesia optimal  litbangkompas kompaspedia adadikompas
Negative,Negative,Negative,Negative,daur ulang sampah plastik indonesia minim sentuh 7 persen
Neutral,Neutral,Positive,Positive,sampah plastik yg pakai daur ulang  sedang sampah yg udah ga bikin kotor pandang manusia 1  dias idud 
Neutral,Positive,Negative,Negative,sedot plastik susah daur ulang  pulung jg yg mau ambil  gelas plastik panjang siklus lalu daur ulang 
Neutral,Negative,Negative,Negative,lah  kan lari daur ulamg sedang kemas kecil banyak yg tak daur ulang  makanya sampah plastik danone aqua yg dominasi bagai tempat  mau nyangkal  ahelah 
Negative,Negative,Negative,Negative,sampah plastik impor banjir jawa timur utama pabrik kertas maupun pabrik olah plastik daur ulang 
Neutral,Negative,Negative,Negative,inti proses daur ulang pilih paling akhir  jadi sampah plastik yg jangan langsung daur ulang  kalau cuci  tetep lihat jenis plastik nya 
Negative,Neutral,Negative,Neutral,menteri industri airlangga hartarto kata upaya daur ulang plastik alias recycle plastic indonesia kalah negara maju 
Negative,Negative,Negative,Negative,emang packaging apa  mungkin dg gak pake plastik asal lg ngurangin beban bumi  krn daur ulang plastik sangat batas 
Negative,Positive,Negative,Positive,tangan orang kreatif indonesia sampah plastik ubah jadi produk daur ulang multifungsi  sayang masif sampah plastik terlalu banyak atas beberapa orang  sampahplastikindonesia pencemaranlingkungan
Negative,Negative,Negative,Negative,6  peluang kembang industri daur ulang plastik indonesia nilai cukup besar ingat daur ulang sampah rumah tangga level 15 22 
Negative,Neutral,Neutral,Positive,anak muda belanda hasil buat mobil plastik daur ulang ribut shalat ied dekat gereja
Neutral,Positive,Positive,Positive,plastik bahan milik tingkat daur ulang cukup tinggi plastik bekas milik nilai ekonomi jadi bahan baku olah proses reuse   maupun recycle  daur ulang  proses jadi cara ulang - ulang 
Neutral,Negative,Negative,Negative,sini plastik gampang bet dapetnya trus tempat kelola daur ulang plastik sedikit jadi numpuk gitu akhir
Negative,Positive,Negative,Positive,kayak gin bagus perlu dukung  sampah plastik makin lama makin keri  utama sampah botol kemas air mineral  miris pabrik daur ulang sampah plastik jg minim  tambah banyak prusahaan yg cuek bahkan libat greenwashing 
Neutral,Negative,Negative,Negative,indonesia malah banyak yg tau apa sampah daur ulang  sampah basah sampah botol plastik tempat yg sama  penting sekali sekolah orang tua ajar penting  indonesia yg lebih hijau
Negative,Negative,Negative,Negative,rendah daur ulang plastik angka 10 persen
Neutral,Positive,Positive,Positive,gais kalian daur ulang kemas plastik pakai ulang tulis 1  pet  makan kemas plastik sebut terima usaha daur ulang indonesia semangatsalingbantu
Neutral,Negative,Negative,Negative,naa pas pertama kali liat iklan pikir gin  iya sih air lebih jamin bersih krn galon baru terus kan nambahin sampah plastik  aku gak yakin sama daur ulang plastik sini
Positive,Neutral,Negative,Neutral,olah daur ulang sampah plastik perlu tingkat  plastic finance salah satu platform yg tawar investasi yg ramah lingkung fokus sistem daur ulang sampah  plas4future zerowaste plasticfinance
Negative,Negative,Negative,Negative,trubusmania teliti lipi  limbah plastik daur ulang tinggal polutan trubusid
Negative,Negative,Negative,Negative,trubusmania teliti lipi  limbah plastik daur ulang tinggal polutan trubusid
Negative,Neutral,Negative,Neutral,padahal banyak potensi cuan hasil dri daur ulang sampah jadi kembang ekonomi sirkular  tingkat daur ulang sampah plastik indonesia rendah
Negative,Negative,Negative,Negative,daur ulang sampah plastik kini 20 
Neutral,Neutral,Positive,Positive,nah perlu tahu nih loh daur ulang pilah kemas plastik pakai ulang indonesia semangatsalingbantu
Neutral,Positive,Positive,Positive,tau gak sih kamu daur ulang pilah kemas plastik pakai ulang tulis 1  pet  makan kemas plastik sebut terima usaha daur ulang indonesia semangatsalingbantu
Neutral,Positive,Positive,Positive,kamu daur ulang pilah kemas plastik pakai ulang tulis 1  pet  makan kemas plastik sebut terima usaha daur ulang indonesia semangatsalingbantu
Neutral,Positive,Positive,Positive,oya guys  kamu daur ulang pilah kemas plastik pakai ulang loh  tulis 1  pet  kemas plastik sebut terima usaha daur ulang jadi aman indonesia semangatsalingbantu
Neutral,Positive,Positive,Positive,kamu daur ulang pilah kemas plastik pakai ulang tulis 1  pet  makan kemas plastik sebut terima usaha daur ulang indonesia semangatsalingbantu
Neutral,Positive,Neutral,Positive,produk beautykit v5 cocok banget loh buat kalian suka pergi travelling bawa alat mandi  buat daur ulang kemas plastik tahan air ramah lingkung  banyak varian nya loh yukk buru
Positive,Negative,Negative,Negative,sampah plastik jadi masalah bagai daerah tak samarinda kaltim  hadir pabrik daur ulang harap mampu beri solusi 
Neutral,Positive,Neutral,Positive,pak menhan makan kendondong aku bahan doong kain perca botol bekas yaa sampah plastik daur ulang banget
Negative,Neutral,Negative,Neutral,pabrik daur ulang plastik tuding jadi biang kerok cemar lahan tani sonorejo operasi begini kata dlh sukoharjo sukoharjo cemar limbahplastik camatsukoharjo dlh
